x,y,z
358,268,0
359,268,0
360,268,0
361,268,0
362,268,0
343,269,0
344,269,0
345,269,0
346,269,0
347,269,0
348,269,0
349,269,0
350,269,0
351,269,0
352,269,0
353,269,0
354,269,0
355,269,0
356,269,0
357,269,0
358,269,0
359,269,0
360,269,0
361,269,0
362,269,0
363,269,0
344,270,0
345,270,0
346,270,0
347,270,0
348,270,0
349,270,0
350,270,0
351,270,0
352,270,0
353,270,0
354,270,0
355,270,0
356,270,0
357,270,0
358,270,0
359,270,0
360,270,0
361,270,0
362,270,0
363,270,0
345,271,0
346,271,0
347,271,0
348,271,0
349,271,0
350,271,0
351,271,0
352,271,0
353,271,0
354,271,0
355,271,0
356,271,0
357,271,0
358,271,0
359,271,0
360,271,0
361,271,0
362,271,0
363,271,0
345,272,0
346,272,0
347,272,0
348,272,0
349,272,0
350,272,0
351,272,0
352,272,0
353,272,0
354,272,0
355,272,0
356,272,0
357,272,0
358,272,0
359,272,0
360,272,0
361,272,0
362,272,0
363,272,0
346,273,0
347,273,0
348,273,0
349,273,0
350,273,0
351,273,0
352,273,0
353,273,0
354,273,0
355,273,0
356,273,0
357,273,0
358,273,0
359,273,0
360,273,0
361,273,0
362,273,0
363,273,0
347,274,0
348,274,0
349,274,0
350,274,0
351,274,0
352,274,0
353,274,0
354,274,0
355,274,0
356,274,0
357,274,0
358,274,0
359,274,0
360,274,0
361,274,0
362,274,0
363,274,0
349,275,0
350,275,0
351,275,0
352,275,0
353,275,0
354,275,0
355,275,0
356,275,0
357,275,0
358,275,0
359,275,0
360,275,0
361,275,0
362,275,0
363,275,0
350,276,0
351,276,0
352,276,0
353,276,0
354,276,0
355,276,0
356,276,0
357,276,0
358,276,0
359,276,0
360,276,0
361,276,0
362,276,0
363,276,0
352,277,0
353,277,0
354,277,0
355,277,0
356,277,0
357,277,0
358,277,0
359,277,0
360,277,0
361,277,0
362,277,0
363,277,0
354,278,0
355,278,0
356,278,0
357,278,0
358,278,0
359,278,0
360,278,0
361,278,0
362,278,0
356,279,0
357,279,0
358,279,0
359,279,0
360,279,0
342,253,1
343,253,1
344,253,1
345,253,1
346,253,1
340,254,1
341,254,1
342,254,1
343,254,1
344,254,1
345,254,1
346,254,1
347,254,1
348,254,1
339,255,1
340,255,1
341,255,1
342,255,1
343,255,1
344,255,1
345,255,1
346,255,1
347,255,1
348,255,1
349,255,1
350,255,1
339,256,1
340,256,1
341,256,1
342,256,1
343,256,1
344,256,1
345,256,1
346,256,1
347,256,1
348,256,1
349,256,1
350,256,1
351,256,1
352,256,1
339,257,1
340,257,1
341,257,1
342,257,1
343,257,1
344,257,1
345,257,1
346,257,1
347,257,1
348,257,1
349,257,1
350,257,1
351,257,1
352,257,1
353,257,1
339,258,1
340,258,1
341,258,1
342,258,1
343,258,1
344,258,1
345,258,1
346,258,1
347,258,1
348,258,1
349,258,1
350,258,1
351,258,1
352,258,1
353,258,1
354,258,1
355,258,1
339,259,1
340,259,1
341,259,1
342,259,1
343,259,1
344,259,1
345,259,1
346,259,1
347,259,1
348,259,1
349,259,1
350,259,1
351,259,1
352,259,1
353,259,1
354,259,1
355,259,1
356,259,1
339,260,1
340,260,1
341,260,1
342,260,1
343,260,1
344,260,1
345,260,1
346,260,1
347,260,1
348,260,1
349,260,1
350,260,1
351,260,1
352,260,1
353,260,1
354,260,1
355,260,1
356,260,1
339,261,1
340,261,1
341,261,1
342,261,1
343,261,1
344,261,1
345,261,1
346,261,1
347,261,1
348,261,1
349,261,1
350,261,1
351,261,1
352,261,1
353,261,1
354,261,1
355,261,1
356,261,1
357,261,1
339,262,1
340,262,1
341,262,1
342,262,1
343,262,1
344,262,1
345,262,1
346,262,1
347,262,1
348,262,1
349,262,1
350,262,1
351,262,1
352,262,1
353,262,1
354,262,1
355,262,1
356,262,1
357,262,1
358,262,1
339,263,1
340,263,1
341,263,1
342,263,1
343,263,1
344,263,1
345,263,1
346,263,1
347,263,1
348,263,1
349,263,1
350,263,1
351,263,1
352,263,1
353,263,1
354,263,1
355,263,1
356,263,1
357,263,1
358,263,1
359,263,1
340,264,1
341,264,1
342,264,1
343,264,1
344,264,1
345,264,1
346,264,1
347,264,1
348,264,1
349,264,1
350,264,1
351,264,1
352,264,1
353,264,1
354,264,1
355,264,1
356,264,1
357,264,1
358,264,1
359,264,1
360,264,1
340,265,1
341,265,1
342,265,1
343,265,1
344,265,1
345,265,1
346,265,1
347,265,1
348,265,1
349,265,1
350,265,1
351,265,1
352,265,1
353,265,1
354,265,1
355,265,1
356,265,1
357,265,1
358,265,1
359,265,1
360,265,1
361,265,1
341,266,1
342,266,1
343,266,1
344,266,1
345,266,1
346,266,1
347,266,1
348,266,1
349,266,1
350,266,1
351,266,1
352,266,1
353,266,1
354,266,1
355,266,1
356,266,1
357,266,1
358,266,1
359,266,1
360,266,1
361,266,1
341,267,1
342,267,1
343,267,1
344,267,1
345,267,1
346,267,1
347,267,1
348,267,1
349,267,1
350,267,1
351,267,1
352,267,1
353,267,1
354,267,1
355,267,1
356,267,1
357,267,1
358,267,1
359,267,1
360,267,1
361,267,1
362,267,1
342,268,1
343,268,1
344,268,1
345,268,1
346,268,1
347,268,1
348,268,1
349,268,1
350,268,1
351,268,1
352,268,1
353,268,1
354,268,1
355,268,1
356,268,1
357,268,1
358,268,1
359,268,1
360,268,1
361,268,1
362,268,1
343,269,1
344,269,1
345,269,1
346,269,1
347,269,1
348,269,1
349,269,1
350,269,1
351,269,1
352,269,1
353,269,1
354,269,1
355,269,1
356,269,1
357,269,1
358,269,1
359,269,1
360,269,1
361,269,1
362,269,1
363,269,1
344,270,1
345,270,1
346,270,1
347,270,1
348,270,1
349,270,1
350,270,1
351,270,1
352,270,1
353,270,1
354,270,1
355,270,1
356,270,1
357,270,1
358,270,1
359,270,1
360,270,1
361,270,1
362,270,1
363,270,1
345,271,1
346,271,1
347,271,1
348,271,1
349,271,1
350,271,1
351,271,1
352,271,1
353,271,1
354,271,1
355,271,1
356,271,1
357,271,1
358,271,1
359,271,1
360,271,1
361,271,1
362,271,1
363,271,1
345,272,1
346,272,1
347,272,1
348,272,1
349,272,1
350,272,1
351,272,1
352,272,1
353,272,1
354,272,1
355,272,1
356,272,1
357,272,1
358,272,1
359,272,1
360,272,1
361,272,1
362,272,1
363,272,1
346,273,1
347,273,1
348,273,1
349,273,1
350,273,1
351,273,1
352,273,1
353,273,1
354,273,1
355,273,1
356,273,1
357,273,1
358,273,1
359,273,1
360,273,1
361,273,1
362,273,1
363,273,1
347,274,1
348,274,1
349,274,1
350,274,1
351,274,1
352,274,1
353,274,1
354,274,1
355,274,1
356,274,1
357,274,1
358,274,1
359,274,1
360,274,1
361,274,1
362,274,1
363,274,1
349,275,1
350,275,1
351,275,1
352,275,1
353,275,1
354,275,1
355,275,1
356,275,1
357,275,1
358,275,1
359,275,1
360,275,1
361,275,1
362,275,1
363,275,1
350,276,1
351,276,1
352,276,1
353,276,1
354,276,1
355,276,1
356,276,1
357,276,1
358,276,1
359,276,1
360,276,1
361,276,1
362,276,1
363,276,1
352,277,1
353,277,1
354,277,1
355,277,1
356,277,1
357,277,1
358,277,1
359,277,1
360,277,1
361,277,1
362,277,1
363,277,1
354,278,1
355,278,1
356,278,1
357,278,1
358,278,1
359,278,1
360,278,1
361,278,1
362,278,1
356,279,1
357,279,1
358,279,1
359,279,1
360,279,1
342,253,2
343,253,2
344,253,2
345,253,2
346,253,2
340,254,2
341,254,2
342,254,2
343,254,2
344,254,2
345,254,2
346,254,2
347,254,2
348,254,2
339,255,2
340,255,2
341,255,2
342,255,2
343,255,2
344,255,2
345,255,2
346,255,2
347,255,2
348,255,2
349,255,2
350,255,2
339,256,2
340,256,2
341,256,2
342,256,2
343,256,2
344,256,2
345,256,2
346,256,2
347,256,2
348,256,2
349,256,2
350,256,2
351,256,2
352,256,2
339,257,2
340,257,2
341,257,2
342,257,2
343,257,2
344,257,2
345,257,2
346,257,2
347,257,2
348,257,2
349,257,2
350,257,2
351,257,2
352,257,2
353,257,2
339,258,2
340,258,2
341,258,2
342,258,2
343,258,2
344,258,2
345,258,2
346,258,2
347,258,2
348,258,2
349,258,2
350,258,2
351,258,2
352,258,2
353,258,2
354,258,2
355,258,2
339,259,2
340,259,2
341,259,2
342,259,2
343,259,2
344,259,2
345,259,2
346,259,2
347,259,2
348,259,2
349,259,2
350,259,2
351,259,2
352,259,2
353,259,2
354,259,2
355,259,2
356,259,2
339,260,2
340,260,2
341,260,2
342,260,2
343,260,2
344,260,2
345,260,2
346,260,2
347,260,2
348,260,2
349,260,2
350,260,2
351,260,2
352,260,2
353,260,2
354,260,2
355,260,2
356,260,2
339,261,2
340,261,2
341,261,2
342,261,2
343,261,2
344,261,2
345,261,2
346,261,2
347,261,2
348,261,2
349,261,2
350,261,2
351,261,2
352,261,2
353,261,2
354,261,2
355,261,2
356,261,2
357,261,2
339,262,2
340,262,2
341,262,2
342,262,2
343,262,2
344,262,2
345,262,2
346,262,2
347,262,2
348,262,2
349,262,2
350,262,2
351,262,2
352,262,2
353,262,2
354,262,2
355,262,2
356,262,2
357,262,2
358,262,2
339,263,2
340,263,2
341,263,2
342,263,2
343,263,2
344,263,2
345,263,2
346,263,2
347,263,2
348,263,2
349,263,2
350,263,2
351,263,2
352,263,2
353,263,2
354,263,2
355,263,2
356,263,2
357,263,2
358,263,2
359,263,2
340,264,2
341,264,2
342,264,2
343,264,2
344,264,2
345,264,2
346,264,2
347,264,2
348,264,2
349,264,2
350,264,2
351,264,2
352,264,2
353,264,2
354,264,2
355,264,2
356,264,2
357,264,2
358,264,2
359,264,2
360,264,2
340,265,2
341,265,2
342,265,2
343,265,2
344,265,2
345,265,2
346,265,2
347,265,2
348,265,2
349,265,2
350,265,2
351,265,2
352,265,2
353,265,2
354,265,2
355,265,2
356,265,2
357,265,2
358,265,2
359,265,2
360,265,2
361,265,2
341,266,2
342,266,2
343,266,2
344,266,2
345,266,2
346,266,2
347,266,2
348,266,2
349,266,2
350,266,2
351,266,2
352,266,2
353,266,2
354,266,2
355,266,2
356,266,2
357,266,2
358,266,2
359,266,2
360,266,2
361,266,2
341,267,2
342,267,2
343,267,2
344,267,2
345,267,2
346,267,2
347,267,2
348,267,2
349,267,2
350,267,2
351,267,2
352,267,2
353,267,2
354,267,2
355,267,2
356,267,2
357,267,2
358,267,2
359,267,2
360,267,2
361,267,2
362,267,2
342,268,2
343,268,2
344,268,2
345,268,2
346,268,2
347,268,2
348,268,2
349,268,2
350,268,2
351,268,2
352,268,2
353,268,2
354,268,2
355,268,2
356,268,2
357,268,2
358,268,2
359,268,2
360,268,2
361,268,2
362,268,2
343,269,2
344,269,2
345,269,2
346,269,2
347,269,2
348,269,2
349,269,2
350,269,2
351,269,2
352,269,2
353,269,2
354,269,2
355,269,2
356,269,2
357,269,2
358,269,2
359,269,2
360,269,2
361,269,2
362,269,2
363,269,2
344,270,2
345,270,2
346,270,2
347,270,2
348,270,2
349,270,2
350,270,2
351,270,2
352,270,2
353,270,2
354,270,2
355,270,2
356,270,2
357,270,2
358,270,2
359,270,2
360,270,2
361,270,2
362,270,2
363,270,2
345,271,2
346,271,2
347,271,2
348,271,2
349,271,2
350,271,2
351,271,2
352,271,2
353,271,2
354,271,2
355,271,2
356,271,2
357,271,2
358,271,2
359,271,2
360,271,2
361,271,2
362,271,2
363,271,2
345,272,2
346,272,2
347,272,2
348,272,2
349,272,2
350,272,2
351,272,2
352,272,2
353,272,2
354,272,2
355,272,2
356,272,2
357,272,2
358,272,2
359,272,2
360,272,2
361,272,2
362,272,2
363,272,2
346,273,2
347,273,2
348,273,2
349,273,2
350,273,2
351,273,2
352,273,2
353,273,2
354,273,2
355,273,2
356,273,2
357,273,2
358,273,2
359,273,2
360,273,2
361,273,2
362,273,2
363,273,2
347,274,2
348,274,2
349,274,2
350,274,2
351,274,2
352,274,2
353,274,2
354,274,2
355,274,2
356,274,2
357,274,2
358,274,2
359,274,2
360,274,2
361,274,2
362,274,2
363,274,2
349,275,2
350,275,2
351,275,2
352,275,2
353,275,2
354,275,2
355,275,2
356,275,2
357,275,2
358,275,2
359,275,2
360,275,2
361,275,2
362,275,2
363,275,2
350,276,2
351,276,2
352,276,2
353,276,2
354,276,2
355,276,2
356,276,2
357,276,2
358,276,2
359,276,2
360,276,2
361,276,2
362,276,2
363,276,2
352,277,2
353,277,2
354,277,2
355,277,2
356,277,2
357,277,2
358,277,2
359,277,2
360,277,2
361,277,2
362,277,2
363,277,2
354,278,2
355,278,2
356,278,2
357,278,2
358,278,2
359,278,2
360,278,2
361,278,2
362,278,2
356,279,2
357,279,2
358,279,2
359,279,2
360,279,2
342,253,3
343,253,3
344,253,3
345,253,3
346,253,3
340,254,3
341,254,3
342,254,3
343,254,3
344,254,3
345,254,3
346,254,3
347,254,3
348,254,3
339,255,3
340,255,3
341,255,3
342,255,3
343,255,3
344,255,3
345,255,3
346,255,3
347,255,3
348,255,3
349,255,3
350,255,3
339,256,3
340,256,3
341,256,3
342,256,3
343,256,3
344,256,3
345,256,3
346,256,3
347,256,3
348,256,3
349,256,3
350,256,3
351,256,3
352,256,3
339,257,3
340,257,3
341,257,3
342,257,3
343,257,3
344,257,3
345,257,3
346,257,3
347,257,3
348,257,3
349,257,3
350,257,3
351,257,3
352,257,3
353,257,3
339,258,3
340,258,3
341,258,3
342,258,3
343,258,3
344,258,3
345,258,3
346,258,3
347,258,3
348,258,3
349,258,3
350,258,3
351,258,3
352,258,3
353,258,3
354,258,3
355,258,3
339,259,3
340,259,3
341,259,3
342,259,3
343,259,3
344,259,3
345,259,3
346,259,3
347,259,3
348,259,3
349,259,3
350,259,3
351,259,3
352,259,3
353,259,3
354,259,3
355,259,3
356,259,3
339,260,3
340,260,3
341,260,3
342,260,3
343,260,3
344,260,3
345,260,3
346,260,3
347,260,3
348,260,3
349,260,3
350,260,3
351,260,3
352,260,3
353,260,3
354,260,3
355,260,3
356,260,3
339,261,3
340,261,3
341,261,3
342,261,3
343,261,3
344,261,3
345,261,3
346,261,3
347,261,3
348,261,3
349,261,3
350,261,3
351,261,3
352,261,3
353,261,3
354,261,3
355,261,3
356,261,3
357,261,3
339,262,3
340,262,3
341,262,3
342,262,3
343,262,3
344,262,3
345,262,3
346,262,3
347,262,3
348,262,3
349,262,3
350,262,3
351,262,3
352,262,3
353,262,3
354,262,3
355,262,3
356,262,3
357,262,3
358,262,3
339,263,3
340,263,3
341,263,3
342,263,3
343,263,3
344,263,3
345,263,3
346,263,3
347,263,3
348,263,3
349,263,3
350,263,3
351,263,3
352,263,3
353,263,3
354,263,3
355,263,3
356,263,3
357,263,3
358,263,3
359,263,3
340,264,3
341,264,3
342,264,3
343,264,3
344,264,3
345,264,3
346,264,3
347,264,3
348,264,3
349,264,3
350,264,3
351,264,3
352,264,3
353,264,3
354,264,3
355,264,3
356,264,3
357,264,3
358,264,3
359,264,3
360,264,3
340,265,3
341,265,3
342,265,3
343,265,3
344,265,3
345,265,3
346,265,3
347,265,3
348,265,3
349,265,3
350,265,3
351,265,3
352,265,3
353,265,3
354,265,3
355,265,3
356,265,3
357,265,3
358,265,3
359,265,3
360,265,3
361,265,3
341,266,3
342,266,3
343,266,3
344,266,3
345,266,3
346,266,3
347,266,3
348,266,3
349,266,3
350,266,3
351,266,3
352,266,3
353,266,3
354,266,3
355,266,3
356,266,3
357,266,3
358,266,3
359,266,3
360,266,3
361,266,3
341,267,3
342,267,3
343,267,3
344,267,3
345,267,3
346,267,3
347,267,3
348,267,3
349,267,3
350,267,3
351,267,3
352,267,3
353,267,3
354,267,3
355,267,3
356,267,3
357,267,3
358,267,3
359,267,3
360,267,3
361,267,3
362,267,3
342,268,3
343,268,3
344,268,3
345,268,3
346,268,3
347,268,3
348,268,3
349,268,3
350,268,3
351,268,3
352,268,3
353,268,3
354,268,3
355,268,3
356,268,3
357,268,3
358,268,3
359,268,3
360,268,3
361,268,3
362,268,3
343,269,3
344,269,3
345,269,3
346,269,3
347,269,3
348,269,3
349,269,3
350,269,3
351,269,3
352,269,3
353,269,3
354,269,3
355,269,3
356,269,3
357,269,3
358,269,3
359,269,3
360,269,3
361,269,3
362,269,3
363,269,3
344,270,3
345,270,3
346,270,3
347,270,3
348,270,3
349,270,3
350,270,3
351,270,3
352,270,3
353,270,3
354,270,3
355,270,3
356,270,3
357,270,3
358,270,3
359,270,3
360,270,3
361,270,3
362,270,3
363,270,3
345,271,3
346,271,3
347,271,3
348,271,3
349,271,3
350,271,3
351,271,3
352,271,3
353,271,3
354,271,3
355,271,3
356,271,3
357,271,3
358,271,3
359,271,3
360,271,3
361,271,3
362,271,3
363,271,3
345,272,3
346,272,3
347,272,3
348,272,3
349,272,3
350,272,3
351,272,3
352,272,3
353,272,3
354,272,3
355,272,3
356,272,3
357,272,3
358,272,3
359,272,3
360,272,3
361,272,3
362,272,3
363,272,3
346,273,3
347,273,3
348,273,3
349,273,3
350,273,3
351,273,3
352,273,3
353,273,3
354,273,3
355,273,3
356,273,3
357,273,3
358,273,3
359,273,3
360,273,3
361,273,3
362,273,3
363,273,3
347,274,3
348,274,3
349,274,3
350,274,3
351,274,3
352,274,3
353,274,3
354,274,3
355,274,3
356,274,3
357,274,3
358,274,3
359,274,3
360,274,3
361,274,3
362,274,3
363,274,3
349,275,3
350,275,3
351,275,3
352,275,3
353,275,3
354,275,3
355,275,3
356,275,3
357,275,3
358,275,3
359,275,3
360,275,3
361,275,3
362,275,3
363,275,3
350,276,3
351,276,3
352,276,3
353,276,3
354,276,3
355,276,3
356,276,3
357,276,3
358,276,3
359,276,3
360,276,3
361,276,3
362,276,3
363,276,3
352,277,3
353,277,3
354,277,3
355,277,3
356,277,3
357,277,3
358,277,3
359,277,3
360,277,3
361,277,3
362,277,3
363,277,3
354,278,3
355,278,3
356,278,3
357,278,3
358,278,3
359,278,3
360,278,3
361,278,3
362,278,3
356,279,3
357,279,3
358,279,3
359,279,3
360,279,3
342,253,4
343,253,4
344,253,4
345,253,4
346,253,4
340,254,4
341,254,4
342,254,4
343,254,4
344,254,4
345,254,4
346,254,4
347,254,4
348,254,4
339,255,4
340,255,4
341,255,4
342,255,4
343,255,4
344,255,4
345,255,4
346,255,4
347,255,4
348,255,4
349,255,4
350,255,4
339,256,4
340,256,4
341,256,4
342,256,4
343,256,4
344,256,4
345,256,4
346,256,4
347,256,4
348,256,4
349,256,4
350,256,4
351,256,4
352,256,4
339,257,4
340,257,4
341,257,4
342,257,4
343,257,4
344,257,4
345,257,4
346,257,4
347,257,4
348,257,4
349,257,4
350,257,4
351,257,4
352,257,4
353,257,4
339,258,4
340,258,4
341,258,4
342,258,4
343,258,4
344,258,4
345,258,4
346,258,4
347,258,4
348,258,4
349,258,4
350,258,4
351,258,4
352,258,4
353,258,4
354,258,4
355,258,4
339,259,4
340,259,4
341,259,4
342,259,4
343,259,4
344,259,4
345,259,4
346,259,4
347,259,4
348,259,4
349,259,4
350,259,4
351,259,4
352,259,4
353,259,4
354,259,4
355,259,4
356,259,4
339,260,4
340,260,4
341,260,4
342,260,4
343,260,4
344,260,4
345,260,4
346,260,4
347,260,4
348,260,4
349,260,4
350,260,4
351,260,4
352,260,4
353,260,4
354,260,4
355,260,4
356,260,4
339,261,4
340,261,4
341,261,4
342,261,4
343,261,4
344,261,4
345,261,4
346,261,4
347,261,4
348,261,4
349,261,4
350,261,4
351,261,4
352,261,4
353,261,4
354,261,4
355,261,4
356,261,4
357,261,4
339,262,4
340,262,4
341,262,4
342,262,4
343,262,4
344,262,4
345,262,4
346,262,4
347,262,4
348,262,4
349,262,4
350,262,4
351,262,4
352,262,4
353,262,4
354,262,4
355,262,4
356,262,4
357,262,4
358,262,4
339,263,4
340,263,4
341,263,4
342,263,4
343,263,4
344,263,4
345,263,4
346,263,4
347,263,4
348,263,4
349,263,4
350,263,4
351,263,4
352,263,4
353,263,4
354,263,4
355,263,4
356,263,4
357,263,4
358,263,4
359,263,4
340,264,4
341,264,4
342,264,4
343,264,4
344,264,4
345,264,4
346,264,4
347,264,4
348,264,4
349,264,4
350,264,4
351,264,4
352,264,4
353,264,4
354,264,4
355,264,4
356,264,4
357,264,4
358,264,4
359,264,4
360,264,4
340,265,4
341,265,4
342,265,4
343,265,4
344,265,4
345,265,4
346,265,4
347,265,4
348,265,4
349,265,4
350,265,4
351,265,4
352,265,4
353,265,4
354,265,4
355,265,4
356,265,4
357,265,4
358,265,4
359,265,4
360,265,4
361,265,4
341,266,4
342,266,4
343,266,4
344,266,4
345,266,4
346,266,4
347,266,4
348,266,4
349,266,4
350,266,4
351,266,4
352,266,4
353,266,4
354,266,4
355,266,4
356,266,4
357,266,4
358,266,4
359,266,4
360,266,4
361,266,4
341,267,4
342,267,4
343,267,4
344,267,4
345,267,4
346,267,4
347,267,4
348,267,4
349,267,4
350,267,4
351,267,4
352,267,4
353,267,4
354,267,4
355,267,4
356,267,4
357,267,4
358,267,4
359,267,4
360,267,4
361,267,4
362,267,4
342,268,4
343,268,4
344,268,4
345,268,4
346,268,4
347,268,4
348,268,4
349,268,4
350,268,4
351,268,4
352,268,4
353,268,4
354,268,4
355,268,4
356,268,4
357,268,4
358,268,4
359,268,4
360,268,4
361,268,4
362,268,4
343,269,4
344,269,4
345,269,4
346,269,4
347,269,4
348,269,4
349,269,4
350,269,4
351,269,4
352,269,4
353,269,4
354,269,4
355,269,4
356,269,4
357,269,4
358,269,4
359,269,4
360,269,4
361,269,4
362,269,4
363,269,4
344,270,4
345,270,4
346,270,4
347,270,4
348,270,4
349,270,4
350,270,4
351,270,4
352,270,4
353,270,4
354,270,4
355,270,4
356,270,4
357,270,4
358,270,4
359,270,4
360,270,4
361,270,4
362,270,4
363,270,4
345,271,4
346,271,4
347,271,4
348,271,4
349,271,4
350,271,4
351,271,4
352,271,4
353,271,4
354,271,4
355,271,4
356,271,4
357,271,4
358,271,4
359,271,4
360,271,4
361,271,4
362,271,4
363,271,4
345,272,4
346,272,4
347,272,4
348,272,4
349,272,4
350,272,4
351,272,4
352,272,4
353,272,4
354,272,4
355,272,4
356,272,4
357,272,4
358,272,4
359,272,4
360,272,4
361,272,4
362,272,4
363,272,4
346,273,4
347,273,4
348,273,4
349,273,4
350,273,4
351,273,4
352,273,4
353,273,4
354,273,4
355,273,4
356,273,4
357,273,4
358,273,4
359,273,4
360,273,4
361,273,4
362,273,4
363,273,4
347,274,4
348,274,4
349,274,4
350,274,4
351,274,4
352,274,4
353,274,4
354,274,4
355,274,4
356,274,4
357,274,4
358,274,4
359,274,4
360,274,4
361,274,4
362,274,4
363,274,4
349,275,4
350,275,4
351,275,4
352,275,4
353,275,4
354,275,4
355,275,4
356,275,4
357,275,4
358,275,4
359,275,4
360,275,4
361,275,4
362,275,4
363,275,4
350,276,4
351,276,4
352,276,4
353,276,4
354,276,4
355,276,4
356,276,4
357,276,4
358,276,4
359,276,4
360,276,4
361,276,4
362,276,4
363,276,4
352,277,4
353,277,4
354,277,4
355,277,4
356,277,4
357,277,4
358,277,4
359,277,4
360,277,4
361,277,4
362,277,4
363,277,4
354,278,4
355,278,4
356,278,4
357,278,4
358,278,4
359,278,4
360,278,4
361,278,4
362,278,4
356,279,4
357,279,4
358,279,4
359,279,4
360,279,4
342,253,5
343,253,5
344,253,5
345,253,5
346,253,5
340,254,5
341,254,5
342,254,5
343,254,5
344,254,5
345,254,5
346,254,5
347,254,5
348,254,5
339,255,5
340,255,5
341,255,5
342,255,5
343,255,5
344,255,5
345,255,5
346,255,5
347,255,5
348,255,5
349,255,5
350,255,5
339,256,5
340,256,5
341,256,5
342,256,5
343,256,5
344,256,5
345,256,5
346,256,5
347,256,5
348,256,5
349,256,5
350,256,5
351,256,5
352,256,5
339,257,5
340,257,5
341,257,5
342,257,5
343,257,5
344,257,5
345,257,5
346,257,5
347,257,5
348,257,5
349,257,5
350,257,5
351,257,5
352,257,5
353,257,5
339,258,5
340,258,5
341,258,5
342,258,5
343,258,5
344,258,5
345,258,5
346,258,5
347,258,5
348,258,5
349,258,5
350,258,5
351,258,5
352,258,5
353,258,5
354,258,5
355,258,5
339,259,5
340,259,5
341,259,5
342,259,5
343,259,5
344,259,5
345,259,5
346,259,5
347,259,5
348,259,5
349,259,5
350,259,5
351,259,5
352,259,5
353,259,5
354,259,5
355,259,5
356,259,5
339,260,5
340,260,5
341,260,5
342,260,5
343,260,5
344,260,5
345,260,5
346,260,5
347,260,5
348,260,5
349,260,5
350,260,5
351,260,5
352,260,5
353,260,5
354,260,5
355,260,5
356,260,5
339,261,5
340,261,5
341,261,5
